Track2,Track5,Track8,Track9,Track10,Track13,Track16,TrackPosition,AngleToTrackAxis,Speed,SpeedY,Accelerate,Brake,Steering,Gear
7.84805,11.3531,39.7747,200.0,22.3064,5.67447,3.84016,-0.347013,-0.0128248,79.0721,5.0089E-4,1.0,0.0,0.0,3
7.82866,11.3251,39.6767,200.0,22.4199,5.70339,3.85974,-0.343683,-0.0128232,80.0851,2.73622E-4,1.0,0.0,0.0,3
7.80926,11.297,39.5782,200.0,22.5338,5.73232,3.87932,-0.340354,-0.0128239,81.1741,7.76867E-5,1.0,0.0,0.0,3
7.78986,11.269,39.4802,200.0,22.6473,5.76124,3.89889,-0.337025,-0.0128225,82.2683,4.8133E-5,1.0,0.0,0.0,3
7.77046,11.2409,39.3816,200.0,22.7612,5.79018,3.91847,-0.333696,-0.0128239,83.3711,-2.92427E-5,1.0,0.0,0.0,3
7.75107,11.2128,39.2836,200.0,22.8748,5.81911,3.93805,-0.330367,-0.0128226,84.4831,1.03377E-5,1.0,0.0,0.0,3
7.73167,11.1848,39.185,200.0,22.9887,5.84804,3.95763,-0.327037,-0.0128239,85.6049,-4.40568E-5,1.0,0.0,0.0,3
7.71228,11.1567,39.087,200.0,23.1022,5.87697,3.97721,-0.323708,-0.0128226,86.7353,2.7885E-6,1.0,0.0,0.0,3
7.69288,11.1286,38.9884,200.0,23.2161,5.90591,3.99679,-0.320379,-0.0128238,87.8743,-4.62266E-5,1.0,0.0,0.0,3
7.67348,11.1006,38.8904,200.0,23.3297,5.93483,4.01637,-0.31705,-0.0128226,89.0223,1.81449E-7,1.0,0.0,0.0,3
7.65408,11.0725,38.7918,200.0,23.4436,5.96377,4.03595,-0.313721,-0.0128238,90.1793,-4.93147E-5,1.0,0.0,0.0,3
7.63469,11.0445,38.6938,200.0,23.5571,5.99269,4.05552,-0.310392,-0.0128225,91.345,-6.89849E-7,1.0,0.0,0.0,3
7.61529,11.0164,38.5952,200.0,23.671,6.02163,4.0751,-0.307062,-0.0128238,92.52,-5.20212E-5,0.0,0.0,0.0,3
7.59605,10.9891,38.5091,200.0,23.776,6.05012,4.09459,-0.303733,-0.012764,92.8432,0.00409008,0.0,0.0,0.0,3
7.57728,10.964,38.4584,200.0,23.8553,6.0773,4.1138,-0.300404,-0.0125288,92.5997,0.0159649,0.0,0.0,0.0,3
6.61018,9.53771,32.9833,200.0,30.1104,7.5393,5.0884,-0.135809,-0.0160155,79.0561,7.49048E-4,1.0,0.0,0.0,3
6.58693,9.50417,32.8672,200.0,30.2496,7.57415,5.11193,-0.131814,-0.0160157,79.684,3.13202E-4,1.0,0.0,0.0,3
