Track0,Track1,Track2,Track3,Track4,Track5,Track6,Track7,Track8,Track9,Track10,Track11,Track12,Track13,Track14,Track15,Track16,Track17,Track18,TrackPosition,AngleToTrackAxis,RPM,Speed,SpeedY,DistanceFromStartLine,DistanceRaced,Damage,Accelerate,Brake,Steering,Gear
8.1185,8.28152,8.72167,9.51661,10.8332,13.032,16.9989,25.5536,54.7937,111.499,14.4889,7.87579,5.52284,4.35427,3.6863,3.28249,3.0417,2.91639,2.88518,-0.475596,0.0258706,6717.19,226.387,-8.25422E-4,3360.81,14954.0,0.0,1.0,0.0,0.30000001192092896,6
8.32422,8.42568,8.80034,9.51234,10.7035,12.6761,16.1412,23.1827,43.4648,200.0,17.1882,8.23947,5.52892,4.25765,3.54938,3.12454,2.86837,2.72762,2.67759,-0.513246,-0.0181414,6750.48,226.762,-3.99712,3370.88,14964.1,0.0,1.0,0.0,0.0,6
8.11492,8.05357,8.24169,8.70977,9.5416,10.9158,13.2217,17.4344,26.7812,61.7785,67.2762,13.6311,7.71424,5.49571,4.37137,3.72285,3.33,3.09727,2.97957,-0.462874,-0.130607,6764.92,225.889,-15.1265,3379.69,14972.9,0.0,1.0,0.0,0.0,6
7.15029,7.09427,7.25793,7.66781,8.39717,9.60229,11.6236,15.3122,23.4749,53.7758,92.417,18.1805,10.2547,7.2958,5.79879,4.93597,4.41338,4.10361,3.94652,-0.288711,-0.132189,6730.53,226.652,-3.17334,3389.71,14982.9,0.0,1.0,0.0,0.0,6
5.88944,5.85032,5.9926,6.33939,6.95303,7.96619,9.66887,12.7916,19.7813,46.7442,104.854,23.2421,13.2968,9.51456,7.587,6.47241,5.79693,5.39762,5.19753,-0.0624072,-0.125333,6752.73,227.453,-0.0165697,3399.72,14992.9,0.0,1.0,0.0,0.0,6
4.62851,4.61926,4.75422,5.05554,5.57861,6.44068,7.90188,10.6387,17.0695,46.7468,84.3877,25.8065,15.5105,11.3333,9.14761,7.86911,7.09327,6.64033,6.42528,0.162548,-0.0986907,6776.32,227.944,1.91786,3409.77,15002.9,0.0,1.0,0.0,0.0,6
3.83652,3.89341,4.07779,4.42151,4.99424,5.94492,7.62895,11.1153,21.6833,200.0,42.0489,21.1386,14.4104,11.189,9.3776,8.28771,7.63255,7.27833,7.16354,0.302455,-0.0033366,6779.59,227.696,9.49467,3419.87,15013.0,0.0,1.0,0.0,0.0,6
3.57844,3.62584,3.79125,4.10311,4.62396,5.48724,7.0087,10.1231,19.2731,200.0,45.923,22.4547,15.1654,11.7176,9.7895,8.63145,7.93398,7.55314,7.42238,0.349422,-0.0122067,6783.81,228.484,0.797849,3430.0,15023.2,0.0,1.0,0.0,-0.30000001192092896,6
3.51342,3.59227,3.79263,4.1502,4.74127,5.73175,7.53473,11.5024,25.9632,192.589,35.3578,19.7969,14.0432,11.1432,9.47452,8.46419,7.86452,7.55866,7.4949,0.361679,0.0388969,6808.56,228.766,6.0422,3440.17,15033.3,0.0,1.0,0.0,0.0,6
3.82959,3.92419,4.15295,4.55708,5.22418,6.34597,8.40655,13.0352,31.1097,139.979,32.0473,18.4109,13.1966,10.5334,8.99193,8.05761,7.50578,7.23029,7.18489,0.304626,0.0512832,6812.69,229.413,1.70615,3450.35,15043.5,0.0,1.0,0.0,0.0,6
