Track0,Track4,Track8,Track9,Track10,Track14,Track18,TrackPosition,AngleToTrackAxis,RPM,Speed,SpeedY,Accelerate,Brake,Steering,Gear
5.50113,7.18047,31.6576,194.395,31.6889,7.17901,5.49887,-2.0582E-4,-1.23199E-4,986.173,7.70519,-8.18933E-4,1.0,0.0,0.0,1
5.50082,7.18018,31.659,194.412,31.6875,7.1793,5.49918,-1.49987E-4,-1.06033E-4,1028.8,8.12385,1.76569E-4,1.0,0.0,0.0,1
5.50061,7.17976,31.6534,194.263,31.6931,7.17973,5.49939,-1.1132E-4,-1.30351E-4,1072.69,8.41512,-7.51196E-4,1.0,0.0,0.0,1
5.5005,7.17971,31.6556,194.284,31.6908,7.17977,5.4995,-9.09459E-5,-1.14139E-4,1113.28,8.84189,3.23251E-4,1.0,0.0,0.0,1
5.50048,7.17954,31.6512,194.13,31.6953,7.17994,5.49952,-8.78247E-5,-1.38458E-4,1157.54,9.13731,-6.93778E-4,1.0,0.0,0.0,1
5.50056,7.1798,31.6564,194.194,31.69,7.17968,5.49944,-1.0239E-4,-1.11278E-4,1198.39,9.54408,-0.00215889,1.0,0.0,0.0,1
5.50074,7.18,31.6563,194.114,31.6903,7.17948,5.49926,-1.35248E-4,-1.1843E-4,1236.3,9.94524,-6.23947E-4,1.0,0.0,0.0,1
5.50103,7.18042,31.6594,194.097,31.6871,7.17906,5.49897,-1.86833E-4,-1.09847E-4,1282.74,10.3209,4.22265E-4,1.0,0.0,0.0,1
5.50141,7.18073,31.6559,193.913,31.6906,7.17875,5.49859,-2.56798E-4,-1.41795E-4,1331.35,10.6295,4.47997E-4,1.0,0.0,0.0,1
5.50189,7.18138,31.6594,193.884,31.6871,7.1781,5.49811,-3.4393E-4,-1.37504E-4,1370.01,10.9935,0.00205144,1.0,0.0,0.0,1
5.50199,7.18159,31.6626,193.885,31.6839,7.17789,5.49801,-3.61182E-4,-1.22722E-4,1404.98,11.406,4.3079E-4,1.0,0.0,0.0,1
5.50146,7.18096,31.6613,193.854,31.6851,7.17852,5.49854,-2.64775E-4,-1.12708E-4,1444.88,11.8292,8.03982E-5,1.0,0.0,0.0,1
5.50103,7.18031,31.6563,193.713,31.6902,7.17917,5.49897,-1.8666E-4,-1.2749E-4,1493.8,12.2199,-3.89813E-4,1.0,0.0,0.0,1
5.5007,7.17994,31.6558,193.674,31.6906,7.17954,5.4993,-1.27359E-4,-1.19384E-4,1542.86,12.5777,-1.35528E-4,1.0,0.0,0.0,1
5.50048,7.17945,31.6487,193.467,31.6978,7.18002,5.49952,-8.79114E-5,-1.51809E-4,1595.21,12.9313,-2.98674E-4,1.0,0.0,0.0,1
5.50037,7.1795,31.654,193.526,31.6925,7.17998,5.49963,-6.68439E-5,-1.18907E-4,1626.94,13.3188,7.40679E-4,1.0,0.0,0.0,1
5.50036,7.17951,31.6546,193.457,31.6919,7.17997,5.49964,-6.55434E-5,-1.15569E-4,1687.64,13.7349,-4.86437E-4,1.0,0.0,0.0,1
5.50046,7.17972,31.6572,193.425,31.6893,7.17976,5.49954,-8.41834E-5,-1.04125E-4,1736.0,14.1727,6.90027E-6,1.0,0.0,0.0,1
5.50067,7.17989,31.6556,193.295,31.6909,7.17959,5.49933,-1.21117E-4,-1.19861E-4,1776.49,14.594,1.65389E-4,1.0,0.0,0.0,1
5.50102,7.18028,31.6557,193.168,31.6908,7.1792,5.49898,-1.85013E-4,-1.30351E-4,1836.82,14.9786,-9.46206E-5,1.0,0.0,0.0,1
