Track5,Track7,Track9,Track11,Track13,TrackPosition,AngleToTrackAxis,RPM,Speed,SpeedY,Accelerate,Brake,Steering,Gear
4.58602,8.04257,63.9976,26.6489,13.0382,0.433572,-0.0486985,5577.95,130.063,-4.79535E-5,1.0,0.0,0.0,4
4.29941,7.53995,59.999,27.3069,13.3601,0.468972,-0.0486976,5648.03,131.698,-8.62145E-5,1.0,0.0,0.0,4
4.01171,7.03541,55.9841,27.9674,13.6833,0.504506,-0.0486977,5718.31,133.337,-1.88754E-4,1.0,0.0,0.0,4
3.71521,6.51543,51.8459,28.6482,14.0164,0.541127,-0.0486982,5788.81,134.981,-1.51595E-4,1.0,0.0,0.0,4
3.41872,5.99546,47.7088,29.3289,14.3494,0.577748,-0.0486977,5859.49,136.629,-5.05341E-5,1.0,0.0,0.0,4
3.14073,5.50796,43.8302,29.9671,14.6617,0.612083,-0.0486968,5925.19,138.162,-8.64086E-5,1.0,0.0,0.0,4
2.8065,4.92181,39.166,30.7345,15.0371,0.653365,-0.0486965,6002.69,139.97,-7.82561E-5,1.0,0.0,0.0,4
2.47226,4.33566,34.5017,31.5019,15.4126,0.694647,-0.0486964,6079.99,141.783,-7.09869E-5,1.0,0.0,0.0,4
2.18708,3.83553,30.5213,32.1567,15.733,0.729869,-0.0486972,6144.8,143.297,-1.25421E-4,1.0,0.0,0.0,4
1.84207,3.23047,25.7067,32.9488,16.1205,0.772483,-0.048697,6222.95,145.118,-9.84196E-5,1.0,0.0,0.0,4
1.49561,2.62288,20.8718,33.7443,16.5097,0.815274,-0.0486968,6301.23,146.943,-6.79014E-5,1.0,0.0,0.0,4
1.19911,2.10291,16.7345,34.4249,16.8427,0.851895,-0.0486957,6366.08,148.465,1.96543E-5,1.0,0.0,-0.30000001192092896,4
0.888463,1.59878,20.0112,33.1371,16.7919,0.892556,-0.0295349,6451.73,150.101,0.198988,1.0,0.0,0.0,4
0.864398,1.71313,200.0,28.1434,15.6923,0.902876,0.0319625,6524.37,151.272,4.57159,1.0,0.0,0.0,5
1.02169,2.06206,200.0,27.2233,15.387,0.886674,0.0419964,5258.98,151.348,1.80949,1.0,0.0,0.0,5
1.26153,2.54247,200.0,26.888,15.1818,0.85993,0.0412197,5285.75,151.49,0.480177,1.0,0.0,0.0,5
1.53248,3.08533,200.0,26.4874,14.9444,0.829723,0.0406597,5318.99,152.531,0.0998334,1.0,0.0,0.0,5
1.86751,3.75831,200.0,25.9618,14.6434,0.792436,0.0404357,5363.69,153.775,0.00888235,1.0,0.0,0.0,5
2.20291,4.43304,200.0,25.4236,14.3393,0.755149,0.040406,5406.0,155.019,1.98284E-5,1.0,0.0,0.0,5
2.49245,5.01569,200.0,24.9575,14.0764,0.722967,0.0404047,5442.06,156.054,-3.08634E-4,1.0,0.0,0.0,5
2.8399,5.71488,200.0,24.3981,13.7609,0.684348,0.040405,5485.69,157.292,-2.99392E-4,1.0,0.0,0.0,5
3.12944,6.29753,200.0,23.9319,13.498,0.652166,0.0404047,5521.68,158.323,-3.80259E-4,1.0,0.0,0.0,5
3.47689,6.99675,200.0,23.3725,13.1824,0.613548,0.0404057,5563.3,159.558,-3.92778E-4,1.0,0.0,0.0,5
3.76784,7.58225,200.0,22.904,12.9182,0.58121,0.0404072,5599.32,160.584,-3.95398E-4,1.0,0.0,0.0,5
4.12727,8.30558,200.0,22.3252,12.5918,0.54126,0.0404079,5642.84,161.813,-4.81889E-4,1.0,0.0,0.0,5
4.48671,9.02892,200.0,21.7465,12.2654,0.501309,0.0404092,5684.55,163.04,-5.00324E-4,1.0,0.0,0.0,5
4.84615,9.75227,198.951,21.1678,11.939,0.461359,0.0404103,5727.61,164.264,-5.76444E-4,1.0,0.0,0.0,5
5.20559,10.4756,193.506,20.589,11.6126,0.421409,0.0404115,5770.76,165.484,-6.45157E-4,1.0,0.0,0.0,5
5.51151,11.0913,188.875,20.0965,11.3348,0.387407,0.040412,5805.77,166.5,-7.33441E-4,1.0,0.0,0.0,5
5.88294,11.8387,183.248,19.4984,10.9975,0.346125,0.0404136,5847.72,167.717,-7.72984E-4,1.0,0.0,0.0,5
6.16679,12.2012,200.0,19.3654,10.7837,0.306263,0.0310125,5892.18,168.817,0.18958,1.0,0.0,0.30000001192092896,5
5.83842,10.5366,141.084,22.5436,11.4652,0.295588,-0.0274642,5936.98,169.154,-4.21395,1.0,0.0,0.0,5
5.33101,8.98934,46.5405,27.3482,12.5301,0.319247,-0.0805361,5950.96,170.003,-6.16869,1.0,0.0,0.0,5
4.84722,8.17812,42.5482,28.5855,13.1108,0.381325,-0.0800585,5971.45,171.226,-1.62867,1.0,0.0,0.0,5
